,review_id,trip_id,reviewer_id,reviewee_id,rating,comment,reviewed_at
0,1,1,1958,1001,4,Very comfortable ride.,2024-06-24 14:52:11
1,2,1,1001,1958,4,Super friendly and helpful.,2024-06-24 16:09:11
2,3,3,324,373,4,Very clean car.,2023-08-17 11:08:06
6,7,13,553,680,3,"Great driver, very professional!",2023-06-27 01:25:43
7,8,14,680,1649,3,Fine driver.,2024-03-17 22:45:46
8,9,18,1970,833,5,Fast and safe driver.,2022-08-11 08:39:45
14,15,25,1606,1970,2,Super friendly and helpful.,2023-05-22 12:59:26
15,16,26,1443,1970,3,Super friendly and helpful.,2024-05-29 05:10:02
17,18,27,199,1970,3,Super friendly and helpful.,2024-05-31 12:45:24
21,22,35,1970,334,3,Nothing to complain about.,2022-12-22 23:24:45
22,23,36,748,1970,3,Super friendly and helpful.,2023-12-17 02:44:16
23,24,38,1970,1210,4,"Great rider, very polite.",2022-12-19 10:30:01
24,25,40,1970,164,4,Fast and safe driver.,2022-11-24 21:42:11
25,26,41,1970,1135,3,Nothing to complain about.,2023-12-15 22:06:40
26,27,43,1970,1492,3,Trip was okay.,2023-11-30 08:43:30
27,28,43,1492,1970,3,Very clean car.,2023-11-30 10:10:30
28,29,44,1970,162,5,Car was spotless.,2023-06-17 06:56:47
30,31,48,1970,728,4,"Great rider, very polite.",2023-09-23 00:44:25
33,34,51,677,1970,4,Super friendly and helpful.,2024-02-03 07:37:07
34,35,53,1302,1970,3,"Smooth ride, on time.",2023-10-11 06:36:32
35,36,54,1970,1830,3,Trip was okay.,2022-01-31 22:08:45
37,38,56,436,619,5,Super friendly and helpful.,2023-12-03 14:30:41
43,44,66,1617,1653,3,Fine driver.,2024-01-26 13:09:14
45,46,68,485,1617,3,"Smooth ride, on time.",2023-06-02 17:22:32
46,47,69,1617,1206,4,Car was spotless.,2024-03-11 00:21:21
47,48,69,1206,1617,4,"Great driver, very professional!",2024-03-10 22:39:21
49,50,70,1041,1617,3,"Smooth ride, on time.",2022-04-26 16:28:52
50,51,71,1617,44,5,"5 stars, highly recommend!",2023-11-09 01:56:17
51,52,72,1617,1702,4,Very courteous driver.,2023-10-15 13:50:17
52,53,73,1617,97,4,Super friendly and helpful.,2022-02-28 23:55:50
53,54,73,97,1617,4,Very clean car.,2022-03-01 00:44:50
55,56,76,1693,1617,3,Very clean car.,2022-03-13 02:30:54
60,61,81,585,1617,4,"Excellent service, will ride again.",2024-03-11 05:46:01
61,62,82,1817,327,4,Very comfortable ride.,2023-11-01 19:00:45
63,64,84,510,1817,3,"Great driver, very professional!",2023-05-30 16:53:58
64,65,86,475,1091,4,Very comfortable ride.,2022-08-12 03:18:01
65,66,86,1091,475,4,Very clean car.,2022-08-12 02:05:01
68,69,90,318,679,2,"Excellent service, will ride again.",2023-05-02 02:46:21
69,70,92,679,1011,4,Super friendly and helpful.,2022-06-05 02:34:20
72,73,95,2,1127,4,"Excellent service, will ride again.",2022-01-19 15:10:44
74,75,100,1500,515,4,"5 stars, highly recommend!",2022-07-09 05:35:15
75,76,101,327,1500,3,"Smooth ride, on time.",2022-05-24 19:49:17
76,77,104,5,1500,4,Very clean car.,2023-06-16 00:21:07
77,78,105,1500,542,3,Nothing to complain about.,2022-03-01 23:00:14
78,79,106,448,1500,4,Super friendly and helpful.,2023-12-14 17:42:01
79,80,107,1500,1987,4,"Great driver, very professional!",2022-08-25 22:00:05
80,81,107,1987,1500,3,"Great driver, very professional!",2022-08-25 21:18:05
82,83,111,212,1497,4,"5 stars, highly recommend!",2023-06-25 04:37:34
83,84,112,421,40,3,Acceptable ride.,2023-09-23 20:38:23
84,85,112,40,421,3,"Smooth ride, on time.",2023-09-23 20:42:23
85,86,113,421,24,4,"Great driver, very professional!",2022-04-06 11:11:56
86,87,113,24,421,4,"Excellent service, will ride again.",2022-04-06 12:47:56
87,88,114,421,235,4,"Perfect trip, no issues.",2023-02-27 00:40:19
88,89,115,421,97,4,Car was spotless.,2023-12-29 21:33:45
90,91,117,421,1975,3,Decent experience.,2022-02-06 18:46:35
91,92,117,1975,421,4,"Excellent service, will ride again.",2022-02-06 17:33:35
92,93,118,421,997,4,"Quick and efficient, thanks!",2023-11-27 15:00:59
95,96,120,947,421,4,"Smooth ride, on time.",2024-06-28 22:34:58
96,97,121,421,1795,4,Very courteous driver.,2024-01-13 02:15:30
100,101,128,421,1162,5,Very comfortable ride.,2022-01-08 16:33:53
101,102,128,1162,421,3,Very clean car.,2022-01-08 15:09:53
102,103,130,421,97,4,Super friendly and helpful.,2022-03-25 06:50:08
105,106,134,142,421,3,Super friendly and helpful.,2024-01-13 17:35:25
107,108,139,421,104,3,Got there safely.,2022-08-17 22:16:19
110,111,140,1492,421,3,"Excellent service, will ride again.",2024-04-09 02:21:56
112,113,142,551,1237,5,Fast and safe driver.,2023-02-04 16:37:36
113,114,143,551,995,4,"Great driver, very professional!",2024-02-28 01:49:06
114,115,144,1590,551,2,"Smooth ride, on time.",2024-03-18 10:21:32
115,116,147,551,1825,4,Very comfortable ride.,2023-09-09 12:09:17
116,117,148,551,1248,5,"Easy pickup, no problems.",2023-05-12 09:40:19
118,119,150,551,120,4,"5 stars, highly recommend!",2022-05-13 14:06:47
119,120,150,120,551,3,Super friendly and helpful.,2022-05-13 15:17:47
122,123,152,1100,551,3,"Great driver, very professional!",2022-11-20 04:36:20
123,124,153,551,1984,3,Got there safely.,2022-09-16 02:04:47
124,125,153,1984,551,4,"Excellent service, will ride again.",2022-09-16 04:10:47
126,127,156,455,1956,4,Very clean car.,2024-01-01 04:17:22
127,128,157,907,995,3,Average experience.,2022-09-01 22:19:46
130,131,161,907,1302,5,Fast and safe driver.,2022-08-08 22:45:37
131,132,163,207,907,3,"Smooth ride, on time.",2022-01-30 09:16:51
132,133,167,65,907,4,Very clean car.,2022-09-10 19:03:00
133,134,168,907,434,4,Loved the music selection!,2023-01-01 03:14:09
134,135,168,434,907,4,"Excellent service, will ride again.",2023-01-01 03:34:09
135,136,169,907,1555,3,Decent experience.,2023-07-20 17:57:24
136,137,174,309,778,3,Got there safely.,2023-09-24 22:34:16
137,138,176,309,612,4,"Great rider, very polite.",2022-01-01 22:10:56
140,141,177,1310,309,4,"Excellent service, will ride again.",2022-09-18 21:16:16
141,142,179,309,1775,5,"Perfect trip, no issues.",2024-02-10 08:38:54
143,144,182,309,467,4,Super friendly and helpful.,2024-03-07 05:30:08
144,145,183,309,677,3,Trip was okay.,2024-06-02 04:20:19
145,146,184,309,2,4,Super friendly and helpful.,2023-12-20 14:44:34
146,147,184,2,309,4,"Great driver, very professional!",2023-12-20 15:30:34
147,148,185,309,448,5,Loved the music selection!,2023-10-24 20:57:34
149,150,194,1056,351,4,"Smooth ride, on time.",2022-10-20 16:56:46
151,152,196,1056,469,2,Took too long.,2022-03-05 17:30:41
155,156,200,1056,664,3,Decent experience.,2023-07-29 08:57:32
157,158,203,1056,288,3,"OK trip, nothing special.",2024-05-28 16:07:47
158,159,204,564,1056,3,"Great driver, very professional!",2024-05-26 13:19:35
161,162,207,759,308,2,"Great driver, very professional!",2022-10-28 19:58:30
163,164,211,308,506,4,"Perfect trip, no issues.",2022-08-14 19:18:42
164,165,212,1890,308,4,Super friendly and helpful.,2024-06-15 08:58:28
165,166,213,1623,308,3,"Great driver, very professional!",2023-09-27 09:19:41
166,167,214,308,1108,3,Nothing to complain about.,2022-10-02 19:33:53
167,168,214,1108,308,2,Very clean car.,2022-10-02 21:09:53
168,169,215,308,271,5,"Great rider, very polite.",2023-11-17 22:10:55
169,170,217,697,310,3,Very clean car.,2024-03-22 16:54:51
171,172,225,1162,1697,4,"Smooth ride, on time.",2022-05-10 09:56:07
173,174,228,1697,40,3,Nothing to complain about.,2024-01-02 05:24:24
175,176,231,1697,194,4,"5 stars, highly recommend!",2023-07-24 05:07:01
176,177,233,1697,192,4,"Easy pickup, no problems.",2023-05-13 13:36:48
177,178,234,1697,957,2,Not very clean.,2023-04-09 11:35:07
178,179,235,1697,1131,3,Fine driver.,2024-02-21 22:47:17
182,183,240,409,433,3,Acceptable ride.,2022-03-04 00:57:11
184,185,241,1443,1270,4,"Great driver, very professional!",2023-06-05 08:56:34
185,186,242,1270,125,4,"Smooth ride, on time.",2022-08-07 23:19:05
186,187,243,1270,1544,4,Very comfortable ride.,2023-04-19 23:01:48
187,188,245,139,1270,4,"Great driver, very professional!",2022-10-09 02:31:45
189,190,248,1270,1993,2,Took a longer route.,2023-05-26 02:43:34
191,192,249,860,1270,3,"Excellent service, will ride again.",2023-01-23 03:19:24
